,Unnamed: 0,ID,player_name,team,overall_innings,overall_runs,balls,overall_average,strike_rate,centuries,thirties,fifties,zeros,overall_notout,home_innings,away_innings,home_runs,home_not_out_count,home_average,total_home_ball_faced,home_strike_rate,home_zeros,home_30s,home_50s,home_100s,form_innings,form_runs,recent_zeros,recent_30s,recent_50s,recent_100s,recent_not_outs,form_average,total_recent_ball_faced,form_strike_rate,away_runs,away_not_out_count,away_average,total_away_ball_faced,away_strike_rate,away_zeros,away_30s,away_50s,away_100s,calculated_home_points,calculated_away_points,calculated_form_points,calculated_value
0,0,1,ME Trescothick,England,3,166,135,55.33333333,123.71266,0,1,2,0,0,3,0,166.0,0.0,55.33333333,0.0,0.0,0.0,1.0,2.0,0.0,3,166,0,1,2,0,0,55.33333333,0,0,36.5,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3554216863253,0.0,16.355421686746986,8.3554216863253
1,1,2,IR Bell,England,8,188,166,26.85714286,100.7270497,0,1,1,0,1,3,5,87.0,1.0,43.5,0.0,0.0,0.0,0.0,1.0,0.0,8,188,0,1,1,0,1,26.85714286,0,0,101.0,0.0,20.2,0.0,0.0,0.0,1.0,0.0,0.0,11.53448275862069,7.742574257425742,41.91489361702128,9.91489361787234
2,2,3,KP Pietersen,England,36,1176,856,37.93548387,132.1913712,0,12,7,1,5,12,24,356.0,1.0,32.36363636,0.0,0.0,1.0,6.0,1.0,0.0,10,354,0,5,2,0,2,44.25,0,0,820.0,4.0,41.0,0.0,0.0,0.0,6.0,6.0,0.0,11.681307455730337,16.302439024390246,53.8135593220339,20.067807768061222
3,3,4,AJ Strauss,England,4,73,68,18.25,83.49399961,0,1,0,1,0,3,1,51.0,0.0,17.0,0.0,0.0,1.0,1.0,0.0,0.0,4,73,1,1,0,0,0,18.25,0,0,22.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,7.882352941176469,7.0,20.821917808219176,7.821917808219176
4,4,5,PD Collingwood,England,33,583,467,19.43333333,108.1106755,0,2,3,3,3,12,21,247.0,0.0,20.58333333,0.0,0.0,0.0,1.0,1.0,0.0,10,102,1,0,0,0,1,11.33333333,0,0,336.0,3.0,18.66666667,0.0,0.0,3.0,1.0,2.0,0.0,9.18623481668016,12.854166668125,50.0,14.492452828867926
5,5,6,JWM Dalrymple,England,3,60,60,20.0,84.48275862,0,1,0,0,0,2,1,28.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3,60,0,1,0,0,0,20.0,0,0,32.0,0.0,32.0,0.0,0.0,0.0,1.0,0.0,0.0,6.999999999999998,7.46875,15.750000000000002,7.75
6,6,7,MH Yardy,England,7,96,72,48.0,99.11739055,0,1,0,2,5,4,3,88.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,96,2,1,0,0,5,48.0,0,0,8.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.6818181818181818,10.499999999999998,36.09375000000001,25.593749999999996
7,7,8,CMW Read,England,1,13,11,13.0,118.1818182,0,0,0,0,0,1,0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13,0,0,0,0,0,13.0,0,0,36.5,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,7.000000000000001,0.0,5.0,7.000000000000001
8,8,9,SI Mahmood,England,2,1,2,0.0,50.0,0,0,0,1,2,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,1,1,0,0,0,2,0.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
9,9,10,Shoaib Malik,Pakistan,104,2311,1896,32.54929577,119.8920967,0,23,8,2,33,10,94,306.0,4.0,51.0,0.0,0.0,0.0,4.0,2.0,0.0,10,214,0,1,1,0,2,26.75,0,0,2005.0,29.0,30.84615385,0.0,0.0,2.0,19.0,6.0,0.0,15.588235294117647,31.923575677456363,52.10280373831775,36.57978681114669
