ID,player_name,team,overall_innings,overall_runs,balls,overall_average,strike_rate,centuries,thirties,fifties,zeros,overall_notout,home_innings,away_innings,home_runs,home_not_out_count,home_average,total_home_ball_faced,home_strike_rate,home_zeros,home_30s,home_50s,home_100s,form_innings,form_runs,recent_zeros,recent_30s,recent_50s,recent_100s,recent_not_outs,form_average,total_recent_ball_faced,form_strike_rate,away_runs,away_not_out_count,away_average,total_away_ball_faced,away_strike_rate,away_zeros,away_30s,away_50s,away_100s,calculated_home_points,calculated_away_points,calculated_form_points,calculated_value
98,TM Dilshan,Sri Lanka,76,1830,1552,29.04761905,94.2037302,1,12,13,9,13,24,52,702.0,4.0,35.1,0.0,0.0,2.0,2.0,7.0,1.0,10,270,0,1,2,0,2,33.75,0,0,1128.0,9.0,26.23255814,0.0,0.0,7.0,10.0,6.0,0.0,1.8656410256410300,2.3677882236666700,5.277777777777780,3.460837887136610
272,K Weeraratne,Sri Lanka,4,45,37,45.0,112.2115385,0,0,0,0,3,1,3,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,45,0,0,0,0,3,45.0,0,0,35.0,2.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.0,2.8
777,JDF Vandersay,Sri Lanka,4,15,19,15.0,130.7142857,0,0,0,1,3,0,4,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4,15,1,0,0,0,3,15.0,0,0,15.0,3.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.8,2.0,2.8
847,N Pradeep,Sri Lanka,4,10,15,10.0,50.0,0,0,0,2,3,0,4,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,2,0,0,0,3,10.0,0,0,10.0,3.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.8000000000000000,2.0,2.8000000000000000
44,DPMD Jayawardene,Sri Lanka,52,1458,1141,35.56097561,108.5778692,1,9,9,2,11,17,35,466.0,3.0,33.28571429,0.0,0.0,0.0,6.0,2.0,0.0,10,269,0,1,2,0,2,33.625,0,0,992.0,8.0,36.74074074,0.0,0.0,2.0,3.0,7.0,1.0,1.3972103005386300,2.018798536421370,5.278810408921930,2.546241092046640
324,AD Mathews,Sri Lanka,63,1148,1002,24.95652174,112.4382028,0,9,5,2,17,22,41,292.0,4.0,16.22222222,0.0,0.0,1.0,3.0,0.0,0.0,10,155,1,1,1,0,1,17.22222222,0,0,856.0,13.0,30.57142857,0.0,0.0,1.0,6.0,5.0,0.0,1.194596651328770,2.1745327102324800,5.290322580645160,2.5227200424512200
412,NLTC Perera,Sri Lanka,73,1204,827,25.08333333,129.8099103,0,10,3,8,25,29,44,399.0,10.0,21.0,0.0,0.0,5.0,1.0,2.0,0.0,10,184,1,1,1,0,3,26.28571429,0,0,805.0,15.0,27.75862069,0.0,0.0,3.0,9.0,1.0,0.0,1.613533834586470,1.9639323195677000,5.244565217391300,2.51973283485299
99,KC Sangakkara,Sri Lanka,53,1382,1193,32.13953488,104.8475559,0,12,8,2,10,17,36,489.0,4.0,37.61538462,0.0,0.0,0.0,5.0,2.0,0.0,10,204,1,2,1,0,2,25.5,0,0,893.0,6.0,29.76666667,0.0,0.0,2.0,7.0,6.0,0.0,1.3847097688711700,1.9889361703068300,5.294117647058820,2.473499814795950
380,CU Jayasinghe,Sri Lanka,3,49,49,49.0,126.9047619,0,1,0,0,2,0,3,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3,49,0,1,0,0,2,49.0,0,0,49.0,2.0,49.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.191836734693880,1.5918367346938800,2.191836734693880
1520,SMA Priyanjan,Sri Lanka,3,54,63,54.0,85.85365854,0,1,0,0,2,1,2,40.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,54,0,1,0,0,2,54.0,0,0,14.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037500000000000000,1.4000000000000000,1.5833333333333300,2.183333333333330
555,MDKJ Perera,Sri Lanka,46,1293,988,28.73333333,118.4698104,0,3,12,0,1,23,23,649.0,0.0,28.2173913,0.0,0.0,0.0,1.0,7.0,0.0,10,247,0,1,2,0,0,24.7,0,0,644.0,1.0,29.27272727,0.0,0.0,0.0,2.0,5.0,0.0,1.4973805854083200,1.3746753246071400,5.303643724696360,2.1563908222938900
413,LD Chandimal,Sri Lanka,50,868,845,19.28888889,94.29811197,0,5,5,0,5,17,33,267.0,2.0,17.8,0.0,0.0,0.0,2.0,1.0,0.0,10,175,0,1,1,0,3,25.0,0,0,601.0,3.0,20.03333333,0.0,0.0,0.0,3.0,4.0,0.0,1.1753558052434500,1.6759900165108200,5.257142857142860,2.0738607271313400
101,CK Kapugedera,Sri Lanka,37,685,598,22.09677419,112.3329258,0,9,1,0,6,10,27,229.0,1.0,25.44444444,0.0,0.0,0.0,3.0,1.0,0.0,10,199,0,3,1,0,2,24.875,0,0,456.0,5.0,20.72727273,0.0,0.0,0.0,6.0,0.0,0.0,1.105288694672490,1.3919856460460500,5.376884422110550,1.7267247467459900
